id,account_status,months,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,guarantors,residence,property,age,other_installments,housing,credit_cards,job,dependents,phone,foreign_worker,credit_rating
118,0 <= x < 200 DM ,12,existing credits paid back duly till now ,repairs ,639,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",30,none ,own ,1,skilled employee / official,1,none ,yes ,2
119,no checking account ,6,critical account/ other credits existing (not at this bank) ,radio/television ,1740,x < 100 DM ,x>= 7 years ,2,male - married/widowed ,none ,2,real estate ,30,none ,rent ,2,skilled employee / official,1,none ,yes ,1
120,no checking account ,6,all credits at this bank paid back duly ,radio/television ,1750,500 <= x < 1000 DM ,x>= 7 years ,2,male - single ,none ,4,building society savings agreement/ life insurance ,45,bank ,own ,1,unskilled - resident,2,none ,yes ,1
121,no checking account ,48,critical account/ other credits existing (not at this bank) ,business ,7629,unknown/ no savings account ,x>= 7 years ,4,male - divorced/separated ,none ,2,"car or other, not in attribute Account ",46,bank ,own ,2,management/ self-employed/highly qualified employee/ officer,2,none ,yes ,1
122,x < 0 DM ,12,existing credits paid back duly till now ,furniture/equipment ,1289,x < 100 DM ,1 <= x < 4 years ,4,male - single ,guarantor ,1,building society savings agreement/ life insurance ,21,none ,own ,1,unskilled - resident,1,none ,yes ,1
123,0 <= x < 200 DM ,30,critical account/ other credits existing (not at this bank) ,car (new) ,5234,x < 100 DM ,unemployed ,4,male - married/widowed ,none ,2,"car or other, not in attribute Account ",28,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,2
124,x < 0 DM ,36,critical account/ other credits existing (not at this bank) ,furniture/equipment ,2348,x < 100 DM ,1 <= x < 4 years ,3,male - married/widowed ,none ,2,building society savings agreement/ life insurance ,46,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
125,x >= 200 DM / salary assignments for at least 1 year ,18,all credits at this bank paid back duly ,radio/television ,1445,unknown/ no savings account ,4 <= x < 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",49,bank ,own ,1,unskilled - resident,1,none ,yes ,1
126,x >= 200 DM / salary assignments for at least 1 year ,24,critical account/ other credits existing (not at this bank) ,radio/television ,3148,unknown/ no savings account ,1 <= x < 4 years ,3,male - single ,none ,2,"car or other, not in attribute Account ",31,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
127,no checking account ,24,critical account/ other credits existing (not at this bank) ,radio/television ,2223,100 <= x < 500 DM ,x>= 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,52,bank ,own ,2,skilled employee / official,1,none ,yes ,1
128,x >= 200 DM / salary assignments for at least 1 year ,21,existing credits paid back duly till now ,car (new) ,2923,100 <= x < 500 DM ,1 <= x < 4 years ,1,female - divorced/separated/married ,none ,1,"car or other, not in attribute Account ",28,bank ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
129,no checking account ,12,existing credits paid back duly till now ,furniture/equipment ,1736,x < 100 DM ,4 <= x < 7 years ,3,female - divorced/separated/married ,none ,4,real estate ,31,none ,own ,1,unskilled - resident,1,none ,yes ,1
130,x < 0 DM ,30,existing credits paid back duly till now ,repairs ,11998,x < 100 DM ,x < 1 year ,1,male - divorced/separated ,none ,1,unknown / no property ,34,none ,own ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,2
131,0 <= x < 200 DM ,30,no credits taken/ all credits paid back duly ,business ,4280,100 <= x < 500 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",26,none ,rent ,2,unskilled - resident,1,none ,yes ,2
132,x >= 200 DM / salary assignments for at least 1 year ,24,existing credits paid back duly till now ,radio/television ,5152,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",25,bank ,own ,1,skilled employee / official,1,none ,yes ,1
133,0 <= x < 200 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,3124,x < 100 DM ,x < 1 year ,1,male - single ,none ,3,real estate ,49,bank ,own ,2,unskilled - resident,2,none ,yes ,1
134,x < 0 DM ,6,existing credits paid back duly till now ,car (new) ,14896,x < 100 DM ,x>= 7 years ,1,male - single ,none ,4,unknown / no property ,68,bank ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
135,0 <= x < 200 DM ,24,existing credits paid back duly till now ,car (new) ,1246,x < 100 DM ,x < 1 year ,4,male - single ,none ,2,real estate ,23,stores ,own ,1,unskilled - resident,1,none ,yes ,2
136,0 <= x < 200 DM ,48,existing credits paid back duly till now ,business ,15672,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,"car or other, not in attribute Account ",23,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
137,x < 0 DM ,36,existing credits paid back duly till now ,furniture/equipment ,5179,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,2,building society savings agreement/ life insurance ,29,none ,own ,1,skilled employee / official,1,none ,yes ,2
138,0 <= x < 200 DM ,12,existing credits paid back duly till now ,radio/television ,766,500 <= x < 1000 DM ,1 <= x < 4 years ,4,male - single ,none ,3,real estate ,66,none ,own ,1,unskilled - resident,1,none ,yes ,2
139,no checking account ,11,existing credits paid back duly till now ,business ,2142,x>= 1000 DM ,x>= 7 years ,1,male - divorced/separated ,none ,2,real estate ,28,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
140,no checking account ,54,no credits taken/ all credits paid back duly ,car (used) ,9436,unknown/ no savings account ,1 <= x < 4 years ,2,male - single ,none ,2,building society savings agreement/ life insurance ,39,none ,own ,1,unskilled - resident,2,none ,yes ,1
141,no checking account ,15,critical account/ other credits existing (not at this bank) ,radio/television ,1471,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,unknown / no property ,35,none ,for free ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
142,no checking account ,6,existing credits paid back duly till now ,education ,1538,x < 100 DM ,x < 1 year ,1,female - divorced/separated/married ,none ,2,unknown / no property ,56,none ,own ,1,skilled employee / official,1,none ,yes ,1
143,no checking account ,24,existing credits paid back duly till now ,car (used) ,7814,x < 100 DM ,4 <= x < 7 years ,3,male - single ,none ,3,"car or other, not in attribute Account ",38,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
144,no checking account ,9,critical account/ other credits existing (not at this bank) ,radio/television ,3074,unknown/ no savings account ,1 <= x < 4 years ,1,male - single ,none ,2,real estate ,33,none ,own ,2,skilled employee / official,2,none ,yes ,1
145,x < 0 DM ,30,existing credits paid back duly till now ,car (used) ,3857,x < 100 DM ,1 <= x < 4 years ,4,male - divorced/separated ,none ,4,building society savings agreement/ life insurance ,40,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
146,no checking account ,30,existing credits paid back duly till now ,radio/television ,2333,500 <= x < 1000 DM ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",30,bank ,own ,1,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,1
147,x < 0 DM ,24,existing credits paid back duly till now ,radio/television ,1938,x < 100 DM ,x < 1 year ,4,male - divorced/separated ,none ,3,building society savings agreement/ life insurance ,32,none ,own ,1,skilled employee / official,1,none ,yes ,2
148,no checking account ,6,existing credits paid back duly till now ,furniture/equipment ,4611,x < 100 DM ,x < 1 year ,1,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,32,none ,own ,1,skilled employee / official,1,none ,yes ,2
149,x < 0 DM ,6,critical account/ other credits existing (not at this bank) ,car (new) ,4716,unknown/ no savings account ,x < 1 year ,1,male - single ,none ,3,real estate ,44,none ,own ,2,unskilled - resident,2,none ,yes ,1
150,x < 0 DM ,12,existing credits paid back duly till now ,education ,795,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,53,none ,own ,1,skilled employee / official,1,none ,yes ,2
151,0 <= x < 200 DM ,36,critical account/ other credits existing (not at this bank) ,car (new) ,2820,x < 100 DM ,x < 1 year ,4,male - divorced/separated ,none ,4,"car or other, not in attribute Account ",27,none ,own ,2,skilled employee / official,1,none ,yes ,2
152,0 <= x < 200 DM ,18,critical account/ other credits existing (not at this bank) ,car (new) ,884,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",36,bank ,own ,1,skilled employee / official,2,"yes, registered under the customers name ",yes ,2
153,x < 0 DM ,18,existing credits paid back duly till now ,radio/television ,1936,unknown/ no savings account ,4 <= x < 7 years ,2,male - married/widowed ,none ,4,"car or other, not in attribute Account ",23,none ,rent ,2,unskilled - resident,1,none ,yes ,1
154,x < 0 DM ,21,existing credits paid back duly till now ,car (new) ,3763,unknown/ no savings account ,4 <= x < 7 years ,2,male - single ,co-applicant ,2,real estate ,24,none ,own ,1,unskilled - resident,1,none ,no ,1
155,no checking account ,15,existing credits paid back duly till now ,radio/television ,1979,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",35,none ,own ,1,skilled employee / official,1,none ,yes ,1
156,x < 0 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,2171,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,38,bank ,own ,2,unskilled - resident,1,none ,no ,1
157,no checking account ,4,critical account/ other credits existing (not at this bank) ,radio/television ,1544,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,1,real estate ,42,none ,own ,3,unskilled - resident,2,none ,yes ,1
158,no checking account ,28,critical account/ other credits existing (not at this bank) ,radio/television ,2743,x < 100 DM ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",29,none ,own ,2,skilled employee / official,1,none ,yes ,1
159,x < 0 DM ,18,all credits at this bank paid back duly ,radio/television ,1940,x < 100 DM ,x < 1 year ,3,male - single ,co-applicant ,4,unknown / no property ,36,bank ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
160,no checking account ,18,existing credits paid back duly till now ,furniture/equipment ,1984,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,4,unknown / no property ,47,bank ,for free ,2,skilled employee / official,1,none ,yes ,1
161,x < 0 DM ,36,existing credits paid back duly till now ,furniture/equipment ,3446,x < 100 DM ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",42,none ,own ,1,skilled employee / official,2,none ,yes ,2
162,x < 0 DM ,12,existing credits paid back duly till now ,furniture/equipment ,2578,x < 100 DM ,unemployed ,3,female - divorced/separated/married ,none ,4,unknown / no property ,55,none ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,1
163,x < 0 DM ,12,critical account/ other credits existing (not at this bank) ,furniture/equipment ,2246,x < 100 DM ,x>= 7 years ,3,male - single ,none ,3,building society savings agreement/ life insurance ,60,none ,own ,2,skilled employee / official,1,none ,yes ,2
164,0 <= x < 200 DM ,27,no credits taken/ all credits paid back duly ,business ,8318,x < 100 DM ,x>= 7 years ,2,female - divorced/separated/married ,none ,4,unknown / no property ,42,none ,for free ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
165,x >= 200 DM / salary assignments for at least 1 year ,15,critical account/ other credits existing (not at this bank) ,car (used) ,2360,500 <= x < 1000 DM ,1 <= x < 4 years ,2,male - single ,none ,2,"car or other, not in attribute Account ",36,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
166,0 <= x < 200 DM ,24,existing credits paid back duly till now ,furniture/equipment ,3069,100 <= x < 500 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,30,none ,for free ,1,skilled employee / official,1,none ,yes ,1
167,no checking account ,12,critical account/ other credits existing (not at this bank) ,furniture/equipment ,5801,unknown/ no savings account ,x>= 7 years ,2,male - single ,none ,4,building society savings agreement/ life insurance ,49,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
168,no checking account ,15,delay in paying off in the past ,radio/television ,1478,x < 100 DM ,1 <= x < 4 years ,4,male - married/widowed ,none ,3,real estate ,33,bank ,own ,2,skilled employee / official,1,none ,yes ,1
169,0 <= x < 200 DM ,6,critical account/ other credits existing (not at this bank) ,retraining ,932,unknown/ no savings account ,4 <= x < 7 years ,1,female - divorced/separated/married ,none ,3,building society savings agreement/ life insurance ,39,none ,own ,2,unskilled - resident,1,none ,yes ,1
170,0 <= x < 200 DM ,18,critical account/ other credits existing (not at this bank) ,business ,3590,x < 100 DM ,unemployed ,3,male - married/widowed ,none ,3,"car or other, not in attribute Account ",40,none ,own ,3,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name ",yes ,1
171,no checking account ,15,existing credits paid back duly till now ,domestic appliances ,874,unknown/ no savings account ,x < 1 year ,4,female - divorced/separated/married ,none ,1,real estate ,24,none ,own ,1,skilled employee / official,1,none ,yes ,1
172,no checking account ,24,existing credits paid back duly till now ,car (used) ,2670,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",35,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
173,0 <= x < 200 DM ,27,existing credits paid back duly till now ,business ,3915,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",36,none ,own ,1,skilled employee / official,2,"yes, registered under the customers name ",yes ,2
174,no checking account ,21,existing credits paid back duly till now ,radio/television ,3160,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,3,building society savings agreement/ life insurance ,41,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
175,no checking account ,18,delay in paying off in the past ,radio/television ,2320,x < 100 DM ,unemployed ,2,male - married/widowed ,none ,3,real estate ,34,none ,own ,2,skilled employee / official,1,none ,yes ,1
176,x < 0 DM ,6,existing credits paid back duly till now ,car (new) ,662,x < 100 DM ,x < 1 year ,3,male - single ,none ,4,real estate ,41,none ,own ,1,unskilled - resident,2,"yes, registered under the customers name ",yes ,1
177,no checking account ,15,existing credits paid back duly till now ,car (used) ,4657,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,2,"car or other, not in attribute Account ",30,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
178,x < 0 DM ,24,existing credits paid back duly till now ,furniture/equipment ,3345,x < 100 DM ,x>= 7 years ,4,male - single ,none ,2,building society savings agreement/ life insurance ,39,none ,rent ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
179,x < 0 DM ,36,existing credits paid back duly till now ,furniture/equipment ,3959,x < 100 DM ,unemployed ,4,male - single ,none ,3,building society savings agreement/ life insurance ,30,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
180,x < 0 DM ,12,critical account/ other credits existing (not at this bank) ,car (new) ,4843,x < 100 DM ,x>= 7 years ,3,male - single ,co-applicant ,4,building society savings agreement/ life insurance ,43,none ,rent ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
181,no checking account ,10,existing credits paid back duly till now ,car (new) ,1287,unknown/ no savings account ,x>= 7 years ,4,male - single ,co-applicant ,2,building society savings agreement/ life insurance ,45,none ,own ,1,unskilled - resident,1,none ,no ,1
182,0 <= x < 200 DM ,36,delay in paying off in the past ,business ,4455,x < 100 DM ,1 <= x < 4 years ,2,male - divorced/separated ,none ,2,real estate ,30,stores ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
183,x < 0 DM ,15,existing credits paid back duly till now ,radio/television ,1053,x < 100 DM ,x < 1 year ,4,male - married/widowed ,none ,2,real estate ,27,none ,own ,1,skilled employee / official,1,none ,no ,1
184,no checking account ,36,critical account/ other credits existing (not at this bank) ,car (new) ,7855,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,2,real estate ,25,stores ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
185,x < 0 DM ,18,all credits at this bank paid back duly ,furniture/equipment ,1553,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,3,"car or other, not in attribute Account ",44,bank ,own ,1,skilled employee / official,1,none ,yes ,2
186,no checking account ,27,delay in paying off in the past ,business ,5117,x < 100 DM ,4 <= x < 7 years ,3,male - single ,none ,4,"car or other, not in attribute Account ",26,none ,own ,2,skilled employee / official,1,none ,yes ,1
187,no checking account ,4,critical account/ other credits existing (not at this bank) ,car (new) ,3380,x < 100 DM ,4 <= x < 7 years ,1,female - divorced/separated/married ,none ,1,real estate ,37,none ,own ,1,skilled employee / official,2,none ,yes ,1
188,x < 0 DM ,12,existing credits paid back duly till now ,car (new) ,900,unknown/ no savings account ,1 <= x < 4 years ,4,male - married/widowed ,none ,2,"car or other, not in attribute Account ",23,none ,own ,1,skilled employee / official,1,none ,yes ,2
189,no checking account ,24,critical account/ other credits existing (not at this bank) ,education ,1927,unknown/ no savings account ,1 <= x < 4 years ,3,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",33,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
190,0 <= x < 200 DM ,18,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1295,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,1,building society savings agreement/ life insurance ,27,none ,own ,2,skilled employee / official,1,none ,yes ,1
191,x < 0 DM ,12,all credits at this bank paid back duly ,car (new) ,697,x < 100 DM ,x < 1 year ,4,male - single ,none ,2,"car or other, not in attribute Account ",46,bank ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
192,0 <= x < 200 DM ,30,existing credits paid back duly till now ,furniture/equipment ,3832,x < 100 DM ,x < 1 year ,2,male - married/widowed ,none ,1,building society savings agreement/ life insurance ,22,none ,own ,1,skilled employee / official,1,none ,yes ,1
193,x >= 200 DM / salary assignments for at least 1 year ,24,critical account/ other credits existing (not at this bank) ,business ,1275,x>= 1000 DM ,1 <= x < 4 years ,2,male - divorced/separated ,none ,4,real estate ,36,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
194,no checking account ,24,existing credits paid back duly till now ,radio/television ,1901,100 <= x < 500 DM ,1 <= x < 4 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",29,none ,rent ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
195,0 <= x < 200 DM ,9,existing credits paid back duly till now ,radio/television ,1206,x < 100 DM ,x>= 7 years ,4,female - divorced/separated/married ,none ,4,real estate ,25,none ,own ,1,skilled employee / official,1,none ,yes ,1
196,no checking account ,12,critical account/ other credits existing (not at this bank) ,radio/television ,976,unknown/ no savings account ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",35,none ,own ,2,skilled employee / official,1,none ,yes ,1
197,no checking account ,6,critical account/ other credits existing (not at this bank) ,radio/television ,1237,100 <= x < 500 DM ,1 <= x < 4 years ,1,female - divorced/separated/married ,none ,1,building society savings agreement/ life insurance ,27,none ,own ,2,skilled employee / official,1,none ,yes ,1
198,0 <= x < 200 DM ,21,critical account/ other credits existing (not at this bank) ,business ,3652,x < 100 DM ,4 <= x < 7 years ,2,male - single ,none ,3,building society savings agreement/ life insurance ,27,none ,own ,2,skilled employee / official,1,none ,yes ,1
199,no checking account ,18,critical account/ other credits existing (not at this bank) ,car (new) ,1055,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,1,building society savings agreement/ life insurance ,30,none ,own ,2,skilled employee / official,1,none ,yes ,1
200,x < 0 DM ,24,critical account/ other credits existing (not at this bank) ,car (new) ,1199,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",60,none ,own ,2,unskilled - resident,1,none ,yes ,2
201,0 <= x < 200 DM ,12,existing credits paid back duly till now ,furniture/equipment ,1922,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,building society savings agreement/ life insurance ,37,none ,own ,1,unskilled - resident,1,none ,yes ,2
202,no checking account ,21,delay in paying off in the past ,car (used) ,2993,x < 100 DM ,1 <= x < 4 years ,3,male - single ,none ,2,real estate ,28,stores ,own ,2,unskilled - resident,1,none ,yes ,1
203,no checking account ,48,existing credits paid back duly till now ,business ,4844,x < 100 DM ,unemployed ,3,male - single ,none ,2,"car or other, not in attribute Account ",33,bank ,rent ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,2
204,no checking account ,24,existing credits paid back duly till now ,radio/television ,3621,100 <= x < 500 DM ,x>= 7 years ,2,male - single ,none ,4,"car or other, not in attribute Account ",31,none ,own ,2,skilled employee / official,1,none ,yes ,2
205,x < 0 DM ,12,existing credits paid back duly till now ,radio/television ,1680,500 <= x < 1000 DM ,x>= 7 years ,3,male - married/widowed ,none ,1,real estate ,35,none ,own ,1,skilled employee / official,1,none ,yes ,1
206,x < 0 DM ,12,existing credits paid back duly till now ,furniture/equipment ,3590,x < 100 DM ,1 <= x < 4 years ,2,male - single ,co-applicant ,2,building society savings agreement/ life insurance ,29,none ,own ,1,unskilled - resident,2,none ,yes ,1
207,no checking account ,12,critical account/ other credits existing (not at this bank) ,education ,701,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",32,none ,own ,2,skilled employee / official,1,none ,yes ,1
208,0 <= x < 200 DM ,21,existing credits paid back duly till now ,business ,1188,x < 100 DM ,x>= 7 years ,2,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,39,none ,own ,1,skilled employee / official,2,none ,yes ,2
209,no checking account ,12,existing credits paid back duly till now ,car (used) ,2445,unknown/ no savings account ,x < 1 year ,2,male - married/widowed ,none ,4,"car or other, not in attribute Account ",26,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
210,x < 0 DM ,6,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1872,x < 100 DM ,unemployed ,4,male - single ,none ,4,unknown / no property ,36,none ,for free ,3,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
211,x < 0 DM ,12,no credits taken/ all credits paid back duly ,repairs ,1108,x < 100 DM ,4 <= x < 7 years ,4,male - single ,none ,3,real estate ,28,none ,own ,2,skilled employee / official,1,none ,yes ,2
212,0 <= x < 200 DM ,12,critical account/ other credits existing (not at this bank) ,radio/television ,3573,x < 100 DM ,1 <= x < 4 years ,1,female - divorced/separated/married ,none ,1,real estate ,23,none ,own ,1,unskilled - resident,1,none ,yes ,1
213,no checking account ,10,critical account/ other credits existing (not at this bank) ,furniture/equipment ,2069,unknown/ no savings account ,1 <= x < 4 years ,2,male - married/widowed ,none ,1,"car or other, not in attribute Account ",26,none ,own ,2,skilled employee / official,1,none ,no ,1
214,no checking account ,18,critical account/ other credits existing (not at this bank) ,radio/television ,629,500 <= x < 1000 DM ,x>= 7 years ,4,male - single ,none ,3,building society savings agreement/ life insurance ,32,bank ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
215,no checking account ,15,critical account/ other credits existing (not at this bank) ,radio/television ,1459,x < 100 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",43,none ,own ,1,unskilled - resident,1,none ,yes ,1
216,no checking account ,60,existing credits paid back duly till now ,car (new) ,10366,x < 100 DM ,x>= 7 years ,2,male - single ,none ,4,building society savings agreement/ life insurance ,42,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
217,0 <= x < 200 DM ,12,existing credits paid back duly till now ,radio/television ,2930,x < 100 DM ,4 <= x < 7 years ,2,female - divorced/separated/married ,none ,1,real estate ,27,none ,own ,1,skilled employee / official,1,none ,yes ,1
218,0 <= x < 200 DM ,18,no credits taken/ all credits paid back duly ,furniture/equipment ,3244,x < 100 DM ,1 <= x < 4 years ,1,female - divorced/separated/married ,none ,4,"car or other, not in attribute Account ",33,bank ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
219,0 <= x < 200 DM ,18,critical account/ other credits existing (not at this bank) ,radio/television ,1795,x < 100 DM ,x>= 7 years ,3,female - divorced/separated/married ,guarantor ,4,real estate ,48,bank ,rent ,2,unskilled - resident,1,"yes, registered under the customers name ",yes ,1
220,0 <= x < 200 DM ,12,existing credits paid back duly till now ,radio/television ,1484,unknown/ no savings account ,1 <= x < 4 years ,2,male - married/widowed ,none ,1,real estate ,25,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,2
221,no checking account ,12,existing credits paid back duly till now ,car (used) ,1413,x>= 1000 DM ,4 <= x < 7 years ,3,male - single ,none ,2,building society savings agreement/ life insurance ,55,none ,own ,1,skilled employee / official,1,none ,no ,1
222,x < 0 DM ,48,existing credits paid back duly till now ,car (new) ,7763,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,42,bank ,for free ,1,management/ self-employed/highly qualified employee/ officer,1,none ,yes ,2
223,0 <= x < 200 DM ,24,existing credits paid back duly till now ,car (new) ,3512,100 <= x < 500 DM ,4 <= x < 7 years ,2,male - single ,none ,3,"car or other, not in attribute Account ",38,bank ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
224,no checking account ,24,existing credits paid back duly till now ,radio/television ,1533,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,3,"car or other, not in attribute Account ",38,stores ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
225,0 <= x < 200 DM ,27,delay in paying off in the past ,car (used) ,5965,x < 100 DM ,x>= 7 years ,1,male - single ,none ,2,"car or other, not in attribute Account ",30,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
226,x < 0 DM ,12,existing credits paid back duly till now ,radio/television ,1107,x < 100 DM ,1 <= x < 4 years ,2,male - single ,none ,2,real estate ,20,none ,rent ,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name ",yes ,1
227,0 <= x < 200 DM ,36,existing credits paid back duly till now ,radio/television ,4795,x < 100 DM ,x < 1 year ,4,female - divorced/separated/married ,none ,1,unknown / no property ,30,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
228,0 <= x < 200 DM ,48,existing credits paid back duly till now ,radio/television ,3979,unknown/ no savings account ,4 <= x < 7 years ,4,male - single ,none ,1,"car or other, not in attribute Account ",41,none ,own ,2,skilled employee / official,2,"yes, registered under the customers name ",yes ,1
229,0 <= x < 200 DM ,24,existing credits paid back duly till now ,car (new) ,2718,x < 100 DM ,1 <= x < 4 years ,3,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,20,none ,rent ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,2
230,x < 0 DM ,12,existing credits paid back duly till now ,radio/television ,2214,x < 100 DM ,1 <= x < 4 years ,4,male - single ,none ,3,building society savings agreement/ life insurance ,24,none ,own ,1,unskilled - resident,1,none ,yes ,1
231,no checking account ,24,existing credits paid back duly till now ,car (new) ,1525,x>= 1000 DM ,4 <= x < 7 years ,4,female - divorced/separated/married ,none ,3,"car or other, not in attribute Account ",34,none ,own ,1,skilled employee / official,2,"yes, registered under the customers name ",yes ,1
232,no checking account ,12,critical account/ other credits existing (not at this bank) ,radio/television ,797,unknown/ no savings account ,x>= 7 years ,4,female - divorced/separated/married ,none ,3,building society savings agreement/ life insurance ,33,bank ,own ,1,unskilled - resident,2,none ,yes ,2
233,0 <= x < 200 DM ,48,existing credits paid back duly till now ,others ,5381,unknown/ no savings account ,unemployed ,3,male - single ,none ,4,unknown / no property ,40,bank ,for free ,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes ,1
